id,exhibitor_id,company_name,hall,nivel,stand,city,cities,category,product,website,logo_url,econexia_url,description_es,status,source
gsi-2026-05-109,826741,PRO2,05,01,109,BOGOTA D.C.,bogota,vis,Proyecto VIS Bogotá SANTA ANA 11 SUR // Proyecto VIS Chía MÁRMARA // Proyecto VIS Chía AVANTI // Condominio Campestres Carmen de Apicalá MONTEARROYO,,,,,captured,catalog
gsi-2026-06-514,805404,DPROPERTY SAS,06,01,514,BOGOTA D.C.,bogota,,Proyectos inmobiliarios en Panamá,http://www.dproperty.com,,,,captured,catalog
gsi-2026-07-134,816781,CIUDAD CAYALÁ,07,01,134,GUATEMALA,otro,vivienda;inversion;servicios,"NUESTROS PRODUCTOS SON PROYECTOS MIXTOS DISEÑADOS PARA QUIENES BUSCAN UNA OPCIÓN DE INVERSIÓN INMOBILIARIA O UNA VIVIENDA PROPIA, LOS PROYECTOS SON: AZALEA: 2 TORRES/ 6-14 NIVELES POR TORRE/ 40 APARTAMENTOS, EONIA: 3 TORRES/ 4-12 NIVELES/ 39 APARTAMENTOS, NOGALES III 4 TORRES 5/7 NIVELES POR TORRE/ 63 APARTAMENTOS AVENIA: 5 TORRES/ 7-8 NIVELES/ 151 APARTAMENTOS",https://cayala.com/inmobiliaria,,,,captured,catalog
gsi-2026-08-353,821775,EDIFICALIA SAS,08,01,353,BOGOTA D.C.,bogota,vis;no_vis;vivienda,"APARTAMENTOS EN CONJUNTO CERRADO VIS Y NO VIS, PROYECTO RIBERA CAMPESTRE - IBAGUE, PROYECTO RIBERA DE LA FLORIDA - PEREIRA, ANDAKI BOSQUE RESIDENCIAL-FLORENCIA, PROYECTOS SAN PABLO-NEIVA",,,,,captured,catalog
gsi-2026-07-288,824117,EMERALD GREEN RESIDENCE,07,01,288,HIGUEY,otro,,,,,,,captured,catalog
gsi-2026-08-384,826684,Eko Group H2O+,08,01,384,BOGOTA D.C.,bogota,,Sistema de recolección y captación de agua lluvia sistema Ekomuro H2O+ con adaptabilidad para agua de consumo,http://www.ekogrouph2o.com,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=56059,,"Eko Group H2O+ es una empresa colombiana de innovación ambiental que desarrolla soluciones para el aprovechamiento eficiente del agua y la economía circular. Nuestro producto insignia, Ekomuro H2O+, es un sistema modular de captación y almacenamiento de agua lluvia fabricado con materiales reutilizados y reciclados, diseñado para integrarse en viviendas, proyectos inmobiliarios, espacios urbanos y comunidades. Complementamos estas soluciones con tecnologías para la reutilización de aguas grises y el ahorro de agua, contribuyendo a reducir el consumo de agua potable, aprovechar recursos naturales y fortalecer la resiliencia de las edificaciones frente al cambio climático. Nuestro objetivo es llevar la sostenibilidad, la economía circular y la gestión inteligente del agua al sector inmobiliario, ofreciendo soluciones innovadoras que generan beneficios ambientales, sociales y económicos tanto para desarrolladores como para propietarios y comunidades.",captured,catalog
gsi-2026-08-141B,825216,EL POBLADO S.A.S,08,01,141B,BARRANQUILLA,barranquilla,vivienda,VENTA DE LOTES CAMPESTRES,http://www.grupoelpoblado.com,,,,captured,catalog
gsi-2026-07-181,813253,ELITE CAPITAL REALTY INC,07,01,181,DAVENPORT,otro,comercio;inversion,"Exposición de proyectos inmobiliarios en preconstrucción a nivel internacional, incluyendo opciones residenciales y comerciales orientadas a inversión.",,,,,captured,catalog
gsi-2026-07-157,809440,EMPORIUM DEVELOPERS,07,01,157,PANAMA,internacional,turismo;vivienda;inversion,"APARTAMENTOS DE INVERSIÓN CON LICENCIA HOTELERA, IDEALES PARA RENTABILIZAR EN PLATAFORMAS DE ESTANCIA CORTAS DESDE $104,000 CON RETORNOS DE HASTA EL 12% ANUAL",http://www.edpanama.com,https://cloud.corferias.co/service/cat_exp/doc_detalle.cfm?id=53905,,"Nos especializamos en la comercialización y venta de proyectos residenciales innovadores, ubicados en las áreas más estratégicas y exclusivas de Ciudad de Panamá. Respaldados por más de 20 años de trayectoria de Emporium Developers en el sector inmobiliario panameño, nos consolidamos como líderes en el mercado de bienes raíces, conectando a las personas con propiedades que aportan valor y elevan su calidad de vida.",captured,catalog
gsi-2026-08-266A,824641,ESPECIALMENTE S.A.S,08,01,266A,CARTAGENA,cartagena,,,,,,,captured,catalog
